,company,total_posts,sym_posts,pct_stress,rating_balance,rating_career,rating_comp,rating_culture,rating_mgmt,rating_overall,stress_z_score,rating_z_score,Q,f(Q),stock_2009,stock_2012,stock_2014,stock_2019,stock_growth_2014,log_stock_growth_2014,stock_growth_2012,log_stock_growth_2012,stock_growth_2009,log_stock_growth_2009,log_stock_2009,log_stock_2012,log_stock_2014,log_stock_2019,GICSSector
204,airproducts,586,4,0.9931740614334472,3.5484496124031013,3.1896887159533085,3.5224171539961016,3.3233009708737864,2.8744588744588744,3.5136518771331064,0.0668773702204205,0.2550856988573954,Q1,0.0415541985602708,46.876971003968286,62.866427948,99.70296018650784,200.9460853214286,2.0154475348127256,0.7008412723817602,3.1963973758401107,1.162024355544273,4.286669573945336,1.455510108355442,3.847526531491236,4.141012284302405,4.602195367464918,5.3030366398466775,Materials
205,cummins,580,0,1.0,3.8986220472440944,3.5803571428571432,3.6071428571428568,3.972386587771203,3.204868154158215,3.7620689655172415,1.167912545729905,0.9728102477234936,Q1,0.2843887484896737,28.14265445238093,82.30674683600007,119.3404249642857,155.732880373016,1.30494658804526,0.2661621112361044,1.8921034588248375,0.6376891513888091,5.533695502552021,1.7108558568209191,3.337286377457077,4.410453082889188,4.781980123041892,5.0481422342779965,Industrials
206,colgate-palmolive,580,6,0.9896551724137932,3.6749555950266433,3.4955277280858685,3.774193548387097,3.8883928571428568,3.4669421487603307,3.831034482758621,-0.5007252461198194,1.1720648363323316,Q4,0.2188618584719556,26.701173944444434,41.37752103199997,56.525990817460304,66.46409340476185,1.1758147436883457,0.161961306189886,1.6062850491541236,0.4739240899083871,2.4891824435528487,0.9119543206400248,3.284707532396362,3.722737763128,4.0347005468465005,4.196661853036387,Consumer Staples
207,jbhunttransport,580,1,0.9982758620689656,2.918918918918919,3.429126213592233,3.141732283464567,3.3268858800773686,3.070281124497992,3.3517241379310345,0.8898062470882934,-0.2127545544990904,Q2,0.1493609307205666,25.189477365079377,50.427362124000005,71.45939408333336,102.39599431746036,1.4329255884544705,0.3597182203899395,2.0305641620846715,0.7083136668001913,4.065030521808831,1.4024212514116423,3.226426342435085,3.920533927046536,4.269129373456789,4.628847593846728,Industrials
208,idexx,578,16,0.972318339100346,2.842592592592593,2.794776119402985,3.338014981273408,3.0428305400372437,2.6192560175054704,3.027681660899654,-3.297185121042125,-1.1489753360628991,Q3,0.5926651832436456,21.97222225396826,45.126879900000006,64.1817658333333,249.1642458531745,3.882165637202976,1.3563931518435135,5.521415316222083,1.7086342252910078,11.339965660877777,2.428333270153732,3.08977903075637,3.8094780756190936,4.161719149066587,5.518112300910102,Health Care
209,pentair,576,4,0.9930555555555556,3.051456310679612,2.84765625,3.176817288801572,2.9765625,2.609603340292276,2.993055555555556,0.0477621762011611,-1.2490167865071349,Q2,0.1947871985654327,14.278994158730155,23.90326043200001,42.227577797619055,38.57006862301586,0.9133857690788644,-0.0905969585158857,1.6135902770561352,0.4784616820175834,2.701175460558205,0.9936870340327578,2.6587895173669174,3.174014869382092,3.7430735099155608,3.6524765513996753,Industrials
210,analogdevices,570,1,0.9982456140350876,3.9,3.3995983935742973,3.552419354838709,3.781124497991968,3.2469635627530367,3.7596491228070175,0.8849271892173785,0.9658188586494988,Q1,0.2482785606829064,18.26199871825397,31.505730288,44.14830015476191,105.44542624206348,2.388436833862786,0.8706391075541918,3.346865007672139,1.2080240890800376,5.774035354446959,1.753371204264422,2.904822328007637,3.4501694431920216,3.787554424717867,4.658193532272059,Information Technology
211,chevron,570,0,1.0,3.9829424307036247,3.6133909287257016,4.034782608695652,4.0,3.4473684210526314,4.0245614035087725,1.167912545729905,1.731201177525027,Q1,0.3801055988319016,44.30909212698413,75.21257853999995,90.07405325,109.45575246825396,1.2151751644223243,0.1948882346500952,1.4552852008662702,0.3752018957562341,2.4702774806256,0.904330484664434,3.791189895879041,4.320318484787241,4.50063214589338,4.695520380543475,
212,itw,569,4,0.9929701230228472,3.230174081237911,3.0118110236220472,3.4121756487025947,3.0886939571150096,2.7171052631578947,3.181019332161687,0.0339817674371912,-0.7059534342823719,Q2,0.1093503797944505,29.194615646825405,46.50299153199999,73.87313587301584,146.72483262698404,1.9861730640377384,0.6862097038392961,3.155169759907137,1.1490423011723196,5.025749761598206,1.6145746491031885,3.3739842966146023,3.839516644545472,4.302349241878495,4.988558945717792,
213,lkq,560,4,0.9928571428571428,2.9893203883495145,2.755381604696673,2.8968565815324165,2.6787109375,2.5738045738045736,2.921428571428572,0.0157578799289112,-1.4559608627120877,Q2,0.2257525999205338,8.095972222222224,18.020839996000007,27.602023753968243,29.08746029365076,1.053816218438293,0.0524180691076148,1.61410124611878,0.478778297817603,3.5928310393420158,1.2789404820721575,2.091366681489597,2.891528865744152,3.31788909445414,3.3703071635617547,Consumer Discretionary
214,alaskaairlines,550,1,0.9981818181818182,3.25,3.487,3.4512195121951224,3.75748502994012,3.2394678492239466,3.64,0.8746368126169219,0.6201296258858511,Q1,0.1952885760948698,5.310120392857142,16.420296351999987,42.86031970634919,62.3148951706349,1.4539064476787786,0.3742540356924887,3.794992114319847,1.3336823329323504,11.735119085898162,2.462585977176351,1.6696145078512743,2.798518152095275,3.757946449335137,4.132200485027625,Industrials
215,internationalpaper,550,1,0.9981818181818182,2.777083333333333,3.4213836477987423,3.712184873949581,3.288702928870293,2.9873150105708244,3.410909090909091,0.8746368126169219,-0.0417578893656875,Q2,0.1360497312510876,10.78978890079365,23.73267181600001,36.85674880555555,40.32269375793649,1.0940382715433248,0.0898756865170757,1.6990372626630212,0.5300617745640755,3.737116094548479,1.31831421626337,2.3786002147407213,3.1668526564400152,3.6070387444870153,3.696914431004091,Materials
216,conedison,539,0,1.0,3.3580375782881005,3.573093220338983,3.626077586206896,3.1974789915966384,3.0225,3.5844155844155843,1.167912545729905,0.4595356029109872,Q1,0.2137645859902223,24.307528603174603,42.382356288,44.62445476984126,80.7109468849207,1.8086707681069067,0.5925921932256095,1.9043525172707996,0.6441420648572573,3.320409417285627,1.2000880937848273,3.190786121423172,3.746732150350741,3.798282021982389,4.390874215207999,Utilities
217,keysighttechnologies,529,1,0.998109640831758,4.086580086580087,3.3406113537117905,3.4251101321585904,3.876086956521738,3.292134831460674,3.80718336483932,0.8629944867277478,1.103154388343699,Q1,0.2594627495196876,,,32.07156870588235,89.53440503571434,2.7917064443215884,1.0266530376537193,,,,,,,3.467969927565897,4.494622965219617,Information Technology
218,equinix,516,5,0.9903100775193798,3.418976545842217,3.4624463519313307,3.913606911447084,3.670235546038544,3.439909297052154,3.744186046511628,-0.3950879698916065,0.9211430695144576,Q4,0.1716560221052071,61.67063198015872,136.24614430400004,166.85660250793654,485.92934090873007,2.9122571933323216,1.068928448320391,3.566554807044648,1.2716000897970905,7.8794285919604,2.0642553875299323,4.121807836723858,4.9144631344567,5.117134775933399,6.186063224253791,Real Estate
219,paccar,514,2,0.9961089494163424,3.043524416135881,2.9166666666666665,2.7254273504273505,2.476595744680852,2.4232954545454546,2.7392996108949417,0.5402796538538773,-1.9821663137329009,Q2,0.3412994594536917,22.53289887698414,30.619880764,49.30838580158732,65.90711688888891,1.3366309972931063,0.2901522669774306,2.15242892017974,0.7665969347906505,2.9249284456785385,1.073270017368711,3.1149764135877227,3.4216494961657835,3.898094163979003,4.188246430956434,Industrials
220,hologic,513,2,0.9961013645224172,3.5574837310195218,3.2788671023965144,3.513245033112584,3.4141304347826087,3.1392111368909514,3.5594541910331383,0.5390561979242923,0.387417356452909,Q1,0.1202065739242409,14.015912694444449,19.649879992,24.032698388888903,47.61630974999997,1.9813134996116184,0.683760008407012,2.423236669607441,0.8851041133365312,3.3973035354931875,1.2229820391734254,2.6401933051823727,2.978071231019267,3.1794153359487862,3.863175344355798,Health Care
221,generaldynamics,513,3,0.9941520467836258,3.3314479638009047,2.9692482915717537,3.3535469107551488,2.9715909090909087,2.631853785900783,3.1949317738791425,0.2246280240214948,-0.6657577254435096,Q2,0.1169824969542916,43.09240361111114,55.2321877,103.08088772222224,168.8199016388888,1.6377420234662423,0.4933184781959106,3.0565492454482084,1.117286582069008,3.9176255555946646,1.3654857446628912,3.7633467312535416,4.011545893847424,4.635513997720522,5.1288324759164325,Industrials
222,edwardslifesciences,504,4,0.992063492063492,3.1960352422907485,3.37,3.850779510022272,3.541111111111112,3.0682352941176467,3.5853174603174605,-0.112259305160088,0.4621412951321533,Q4,0.0765365468063233,5.552476873015874,14.631846692000002,15.292989420634935,66.60305555158729,4.355136443220141,1.4713559400594114,4.551924097728735,1.515550022196594,11.995197292089086,2.4845063440170927,1.7142441116297973,2.6832004334502955,2.7273945155874784,4.1987504556468895,Health Care
223,perkinelmer,502,1,0.99800796812749,3.2483221476510065,2.751685393258427,3.0853932584269663,2.8699551569506725,2.458333333333333,2.9741035856573705,0.8465945114427745,-1.3037726575052897,Q2,0.2808758549830753,15.419612273809522,26.201653639999996,43.113588515873055,89.57161613492067,2.0775727379302524,0.7312002593753474,3.418548209422125,1.2292159607798412,5.808940882843054,1.7593982621369646,2.735640223448729,3.265822524805853,3.763838226210346,4.4950384855856935,Health Care
224,ironmountain,500,4,0.992,3.175615212527964,2.620181405895692,3.0876993166287017,2.86568848758465,2.468384074941452,2.9960000000000004,-0.1225006799672137,-1.2405097225434738,Q3,0.1972539570087124,11.578366123015872,15.595662751999988,19.265287111111103,28.990302345238103,1.5047947210980404,0.4086564909562925,1.8588695335515888,0.619968525292961,2.5038336184248133,0.9178230047142288,2.449138367459125,2.7469928468803926,2.958304881217061,3.3669613721733533,Real Estate
225,assurant,500,3,0.994,3.275395033860045,2.9111617312072893,3.2935779816513766,3.1201814058956923,2.7704918032786887,3.14,0.200102626457066,-0.8244661415282217,Q2,0.1384541377427514,21.141306194444432,31.336687407999975,57.46433530555559,107.629751484127,1.8729834933585572,0.6275326104805424,3.4346244094916707,1.233907577481074,5.090969805470687,1.6274683439402629,3.051228766349974,3.444789532809164,4.051164499809695,4.678697110290237,Financials
226,copart,498,10,0.9799196787148594,2.7053763440860217,2.765086206896552,2.816702819956616,2.6875,2.4831730769230766,2.740963855421686,-2.07107647459419,-1.9773579925343463,Q3,0.5490686122089695,8.018323412698411,13.064850000000009,17.48672622222221,71.71019863492064,4.10083612699277,1.4111908863315412,5.4887885153614935,1.702707560015423,8.943290878159774,2.1909036286273063,2.081729349238528,2.569925417850411,2.861442091534293,4.272632977865834,Industrials
227,norwegiancruiseline,495,9,0.9818181818181818,2.559225512528474,3.017281105990784,3.056712962962963,3.02183908045977,2.6887755102040822,3.2141414141414137,-1.7648447853999094,-0.6102573954106617,Q3,0.3156167131555308,,,35.17027781349204,52.65912684523808,1.4972621804265918,0.40363822732827,,,,,,,3.560201345615684,3.9638395729439537,Consumer Discretionary
228,freeportmcmoran,492,0,1.0,3.4529816513761467,3.522988505747126,4.13448275862069,3.610091743119266,3.2531017369727047,3.713414634146341,1.167912545729905,0.8322385653939643,Q1,0.2622237632943522,21.172275646825405,30.968446355999983,30.42679378174605,11.10331238492063,0.3649189087935331,-1.0080801177714926,0.3585363068357292,-1.025725349772647,0.5244269709187105,-0.6454490964572934,3.0526925733151744,3.4329688266305283,3.4153235946293736,2.407243476857881,Materials
229,otis,492,7,0.9857723577235772,3.1716937354988395,3.2581395348837208,3.3274647887323945,3.190255220417633,2.8272251308900525,3.313008130081301,-1.1270296747680255,-0.3246125166408799,Q3,0.1945314984907741,,,,,,,,,,,,,,,Industrials
230,kindermorgan,472,4,0.9915254237288136,2.992647058823529,2.998759305210918,3.4863184079601983,3.004962779156328,2.7978142076502728,3.260593220338983,-0.1990506170848345,-0.4760492301671666,Q3,0.0869532281674788,,23.34698124799999,26.686444186507927,17.85232298412698,0.6689659686153586,-0.4020220891831202,0.76465230320328,-0.2683340540912136,,,,3.1504676930162727,3.2841557281081792,2.882133638925059,Energy
231,nexteraenergy,470,5,0.9893617021276596,2.780742459396752,3.161627906976744,3.3884976525821595,3.1415313225058004,2.7893401015228427,3.3,-0.5480624884417875,-0.3621954959557193,Q3,0.1175567938482961,9.29973325,12.928560132000008,20.271363944444445,50.31490236904765,2.482067931242333,0.9090920559656248,3.891763804734231,1.3588624751066225,5.410359740054656,1.6883155860367005,2.229985716952152,2.5594388278822304,3.0092092470232275,3.9183013029888527,Utilities
232,exelon,469,3,0.9936034115138592,3.3443396226415096,3.686602870813397,4.152173913043479,3.623809523809524,3.2982885085574574,3.76545842217484,0.13613224799766,0.9826030372062946,Q1,0.1580672298672139,30.666475035714267,26.43217880799999,26.640273246031757,44.95423056746028,1.6874538092118296,0.5232207710710033,1.700738743256927,0.531062711527569,1.4659079830696695,0.3824748341477609,3.4231700395260023,3.2745821621461944,3.28242410260276,3.805644873673763,Utilities
233,olddominionfreight,468,3,0.9935897435897436,3.0906976744186045,3.521077283372365,4.083924349881797,3.475467289719626,3.3029556650246303,3.705128205128205,0.1339275892418337,0.8082974848208112,Q1,0.1310321564618913,,15.69226640186916,31.09046841106717,92.52216390836648,2.975901253241706,1.09054693538597,5.896035763026929,1.7742802205109274,,,,2.753168005125782,3.43690129025074,4.527448225636709,Industrials
234,nrgenergy,455,3,0.9934065934065934,3.31875,3.075949367088608,3.5782051282051284,3.1152882205513786,2.880758807588076,3.3362637362637364,0.1043851619136031,-0.2574226161212911,Q2,0.0455351950347464,23.785116000000013,15.406632450592902,15.61295299999993,15.61295299999993,1.0,0.0,1.0133916707670332,0.0133027949288292,0.6564169373821814,-0.4209591166527585,3.1690600068956867,2.734798095314099,2.7481008902429283,2.7481008902429283,Utilities
